# Baseline — feature 4.1 (benchmark de seção crítica)
#
# commit:  14ca938f2e6fcc718bcfcf2c9498873422604d06 (antes desta feature — HEAD do momento do run)
# data:    2026-09-07
# host:    4 vCPU, Linux 6.17.0-22-generic x86_64, Bun 1.3.12
# comando: bun io-engine.bench.js
#
# Leitura: "critical" é a métrica de aceitação do front inteiro — tempo com o
# lock retido, de acquireLock() ao rename de release em flush(). Cresce de
# p99=17ms (1k registros) para p99=733ms (100k) porque saveIndex()/flushYaml()
# reescrevem .index/.yaml INTEIROS dentro do lock a cada flush — o alvo da 4.2
# é achatar essa curva (p95 em 100k próximo do p95 em 1k). Em 100k×8 procs,
# 7/8 workers bateram o lockTimeout de 1000ms — o sintoma de contenção que
# 4.2/4.3 existem para eliminar.

io-engine.bench.js — grid: sizes=1000,10000,100000 concurrencies=1,8 writes/cell=200

### store=1000 procs=1 (200 writes, 158ms wall, 1266 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   200 |    0.00 |    1.00 |    1.00 |
| lockWait    |   200 |    0.00 |    0.00 |    1.00 |
| verifyStat  |   200 |    0.00 |    0.00 |    0.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   200 |    0.00 |    0.00 |    0.00 |
| publish     |   200 |    0.00 |    1.00 |   17.00 |
| critical    |   200 |    0.00 |    1.00 |   17.00 |

### store=1000 procs=8 (200 writes, 1193ms wall, 168 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   200 |    0.00 |    1.00 |    5.00 |
| lockWait    |   200 |    4.00 |   73.00 |  170.00 |
| verifyStat  |   200 |    0.00 |    0.00 |    1.00 |
| recompute   |   165 |    1.00 |    2.00 |    4.00 |
| append      |   200 |    0.00 |    0.00 |    1.00 |
| publish     |   200 |    0.00 |    2.00 |    4.00 |
| critical    |   200 |    1.00 |    4.00 |    9.00 |

### store=10000 procs=1 (200 writes, 1226ms wall, 163 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   200 |    1.00 |    4.00 |    7.00 |
| lockWait    |   200 |    0.00 |    0.00 |    1.00 |
| verifyStat  |   200 |    0.00 |    0.00 |    1.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   200 |    0.00 |    0.00 |    1.00 |
| publish     |   200 |    2.00 |    8.00 |   96.00 |
| critical    |   200 |    2.00 |    8.00 |   96.00 |

### store=10000 procs=8 (175 writes, 4238ms wall, 41 writes/s, 1/8 workers hit lock timeout)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   175 |    2.00 |    7.00 |   11.00 |
| lockWait    |   175 |   17.00 |  198.00 |  618.00 |
| verifyStat  |   175 |    0.00 |    0.00 |    1.00 |
| recompute   |   172 |    2.00 |    9.00 |   16.00 |
| append      |   175 |    0.00 |    1.00 |    1.00 |
| publish     |   175 |    1.00 |    6.00 |   10.00 |
| critical    |   175 |    3.00 |   14.00 |   30.00 |

### store=100000 procs=1 (200 writes, 37514ms wall, 5 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   200 |   23.00 |  112.00 |  272.00 |
| lockWait    |   200 |    0.00 |    1.00 |    1.00 |
| verifyStat  |   200 |    0.00 |    0.00 |    1.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   200 |    0.00 |    1.00 |    1.00 |
| publish     |   200 |   38.00 |  340.00 |  733.00 |
| critical    |   200 |   42.00 |  340.00 |  733.00 |

### store=100000 procs=8 (25 writes, 71836ms wall, 0 writes/s, 7/8 workers hit lock timeout)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |    25 |   37.00 |  127.00 |  136.00 |
| lockWait    |    25 |    0.00 |    1.00 |    6.00 |
| verifyStat  |    25 |    0.00 |    0.00 |    0.00 |
| recompute   |     1 |   92.00 |   92.00 |   92.00 |
| append      |    25 |    0.00 |    1.00 |   24.00 |
| publish     |    25 |   19.00 |   63.00 |   67.00 |
| critical    |    25 |   23.00 |   67.00 |  107.00 |
