# Resultado — feature 2.2 (secao critica minima)
#
# commit:  (staged, sprint 007)
# data:    2026-09-08
# host:    4 vCPU, Linux 6.17.0-22-generic x86_64, Bun 1.3.12
# comando: bun io-engine.bench.js
#
# O QUE MUDOU: saveIndex() e a publicacao da projecao sairam de dentro do lock.
# A secao critica agora e so: conferir que o log nao cresceu, apender, soltar.
#
# 1 PROCESSO — o criterio da 2.2, atingido:
#   critical p99 = 1ms em 1k, 10k E 20k. A curva ficou PLANA no tamanho do
#   store. Baseline 2.1 tinha p99=17ms (1k) e 96ms (10k).
#
# 8 PROCESSOS — melhorou pela metade, nao resolveu:
#   10k x 8: critical p99 30ms -> 15ms, p95 14ms -> 10ms.
#   Sob contencao o gargalo passa a ser lockWait, nao a secao critica. E a 2.3
#   (lockfile dedicado) que ataca isso — enquanto f.yaml for projecao E mutex,
#   publicar a projecao precisa readquirir o lock.
#
# GRANULARIDADE: a grade default passou a ser 1k/10k/20k com 100 escritas por
# celula, e o bench agora avisa quando uma celula passa de 10s. O 100k saiu do
# default para --full: a celula de 100k levava dezenas de segundos, e um bench
# que ninguem roda nao vira guarda de regressao.
#
io-engine.bench.js — grid: sizes=1000,10000,20000 concurrencies=1,8 writes/cell=100

### store=1000 procs=1 (100 writes, 122ms wall, 820 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   100 |    0.00 |    1.00 |    1.00 |
| lockWait    |   100 |    0.00 |    0.00 |    1.00 |
| verifyStat  |   100 |    0.00 |    0.00 |    0.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   100 |    0.00 |    0.00 |    0.00 |
| publish     |   100 |    0.00 |    0.00 |    0.00 |
| critical    |   100 |    0.00 |    0.00 |    0.00 |

### store=1000 procs=8 (104 writes, 1217ms wall, 85 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   104 |    0.00 |    3.00 |    7.00 |
| lockWait    |   104 |    3.00 |  121.00 |  221.00 |
| verifyStat  |   104 |    0.00 |    0.00 |    0.00 |
| recompute   |    87 |    1.00 |    3.00 |    8.00 |
| append      |   104 |    0.00 |    0.00 |    1.00 |
| publish     |   104 |    0.00 |    0.00 |    0.00 |
| critical    |   104 |    1.00 |    4.00 |    7.00 |

### store=10000 procs=1 (100 writes, 1487ms wall, 67 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   100 |    1.00 |    8.00 |   19.00 |
| lockWait    |   100 |    0.00 |    1.00 |    1.00 |
| verifyStat  |   100 |    0.00 |    0.00 |    1.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   100 |    0.00 |    0.00 |    1.00 |
| publish     |   100 |    0.00 |    0.00 |    0.00 |
| critical    |   100 |    0.00 |    1.00 |    1.00 |

### store=10000 procs=8 (91 writes, 5204ms wall, 17 writes/s, 1/8 workers hit lock timeout)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |    91 |    3.00 |   31.00 |   59.00 |
| lockWait    |    91 |   18.00 |  326.00 |  855.00 |
| verifyStat  |    91 |    0.00 |    0.00 |    2.00 |
| recompute   |    77 |    3.00 |   28.00 |   34.00 |
| append      |    91 |    0.00 |    0.00 |    1.00 |
| publish     |    91 |    0.00 |    0.00 |    0.00 |
| critical    |    91 |    3.00 |   29.00 |   35.00 |

### store=20000 procs=1 (100 writes, 1846ms wall, 54 writes/s)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |   100 |    2.00 |    8.00 |   11.00 |
| lockWait    |   100 |    0.00 |    1.00 |    1.00 |
| verifyStat  |   100 |    0.00 |    0.00 |    1.00 |
| recompute   |     0 |    0.00 |    0.00 |    0.00 |
| append      |   100 |    0.00 |    0.00 |    1.00 |
| publish     |   100 |    0.00 |    0.00 |    0.00 |
| critical    |   100 |    0.00 |    1.00 |    1.00 |

### store=20000 procs=8 (78 writes, 8382ms wall, 9 writes/s, 2/8 workers hit lock timeout)

| phase       |   n   |  p50ms |  p95ms |  p99ms |
|-------------|-------|--------|--------|--------|
| precompute  |    78 |    7.00 |   43.00 |  210.00 |
| lockWait    |    78 |   19.00 |  699.00 | 1012.00 |
| verifyStat  |    78 |    0.00 |    0.00 |    1.00 |
| recompute   |    58 |    6.00 |   37.00 |   50.00 |
| append      |    78 |    0.00 |    1.00 |    1.00 |
| publish     |    78 |    0.00 |    0.00 |    0.00 |
| critical    |    78 |    6.00 |   42.00 |   50.00 |
